episode,full_coverage,coverage,coverage_percent,steps,total_reward
39,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
40,False,0.5454545454545454,54.54545454545454,200,-202.24999999999937
41,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
42,False,0.2727272727272727,27.27272727272727,200,-214.88636363636294
43,False,0.3181818181818182,31.818181818181817,200,-212.8636363636357
44,False,0.5454545454545454,54.54545454545454,200,-202.74999999999937
45,False,0.6363636363636364,63.63636363636363,200,-197.70454545454484
46,False,0.9090909090909091,90.9090909090909,200,-184.56818181818127
47,False,0.13636363636363635,13.636363636363635,200,-220.95454545454473
48,False,0.45454545454545453,45.45454545454545,200,-206.7954545454539
49,False,0.4090909090909091,40.909090909090914,200,-208.81818181818116
50,False,0.3181818181818182,31.818181818181817,200,-212.8636363636357
51,False,0.5454545454545454,54.54545454545454,200,-202.24999999999937
52,False,0.4090909090909091,40.909090909090914,200,-208.81818181818116
53,False,0.45454545454545453,45.45454545454545,200,-206.7954545454539
54,False,0.18181818181818182,18.181818181818183,200,-218.93181818181748
55,False,0.8181818181818182,81.81818181818183,200,-190.1136363636358
56,False,0.7272727272727273,72.72727272727273,200,-194.15909090909034
57,False,0.2727272727272727,27.27272727272727,200,-214.38636363636294
58,False,0.09090909090909091,9.090909090909092,200,-222.977272727272
59,False,0.45454545454545453,45.45454545454545,200,-206.2954545454539
60,False,0.4090909090909091,40.909090909090914,200,-208.31818181818116
61,False,0.2727272727272727,27.27272727272727,200,-214.88636363636294
62,False,0.18181818181818182,18.181818181818183,200,-218.93181818181748
63,False,0.8636363636363636,86.36363636363636,200,-188.09090909090853
64,False,0.22727272727272727,22.727272727272727,200,-216.9090909090902
65,False,0.22727272727272727,22.727272727272727,200,-216.9090909090902
66,False,0.2727272727272727,27.27272727272727,200,-214.88636363636294
67,False,0.6363636363636364,63.63636363636363,200,-198.20454545454484
68,False,0.7727272727272727,77.27272727272727,200,-190.13636363636306
69,False,0.6363636363636364,63.63636363636363,200,-197.20454545454484
70,False,0.18181818181818182,18.181818181818183,200,-218.93181818181748
71,False,0.45454545454545453,45.45454545454545,200,-206.2954545454539
72,False,0.45454545454545453,45.45454545454545,200,-206.2954545454539
73,False,0.7272727272727273,72.72727272727273,200,-192.65909090909034
74,False,0.9545454545454546,95.45454545454545,200,-184.04545454545402
75,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
76,False,0.5909090909090909,59.09090909090909,200,-198.72727272727212
77,False,0.36363636363636365,36.36363636363637,200,-210.3409090909084
78,False,0.5909090909090909,59.09090909090909,200,-199.72727272727212
79,False,0.45454545454545453,45.45454545454545,200,-206.7954545454539
80,False,0.36363636363636365,36.36363636363637,200,-114.34090909090877
81,False,0.6818181818181818,68.18181818181817,200,-194.1818181818176
82,False,0.8636363636363636,86.36363636363636,200,-186.59090909090855
83,False,0.4090909090909091,40.909090909090914,200,-207.81818181818116
84,False,0.13636363636363635,13.636363636363635,200,-220.95454545454473
85,False,0.13636363636363635,13.636363636363635,200,-220.95454545454473
86,False,0.13636363636363635,13.636363636363635,200,-220.95454545454473
87,False,0.22727272727272727,22.727272727272727,200,-216.9090909090902
88,False,0.8181818181818182,81.81818181818183,200,-189.1136363636358
89,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
90,False,0.2727272727272727,27.27272727272727,200,-214.38636363636294
91,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
92,False,0.36363636363636365,36.36363636363637,200,-210.8409090909084
93,False,0.09090909090909091,9.090909090909092,200,-222.977272727272
94,False,0.45454545454545453,45.45454545454545,200,-206.2954545454539
95,False,0.6363636363636364,63.63636363636363,200,-198.70454545454484
96,False,0.5,50.0,200,-204.27272727272663
97,False,0.45454545454545453,45.45454545454545,200,-206.2954545454539
98,False,0.5909090909090909,59.09090909090909,200,-200.22727272727212
99,False,0.5,50.0,200,-203.77272727272663
100,False,0.045454545454545456,4.545454545454546,200,-224.99999999999926
